Artikelbezeichnung;Hersteller;Artikelnummer;Kategoriepfad;Beschreibungsfeld;Bild-Link;Deeplink;Verfuegbarkeit;Bruttopreis;Stattpreis;EAN;Versandkosten;
"Stihl Motorsäge MS 271 40 cm";"Stihl";"FA110903";"Forst>Kettensägen>Stihl Kettensägen>Stihl Kettensägen Benzin";"Gut geeigent für die Brennholzernte. Langzeit-Luftfiltersystem für lange Filterstandzeit, werkzeuglose Tankverschlüsse zum sicheren und einfachen Betanken, schneller Servicezugang dank einteiliger Motorhaube. Mit Führungsschiene Light 04 im originellen Design sowie neuer .325""-RM3 Pro-Sägekette für eine höhere Schnittleistung. Technische Daten: Gewicht: 5,6 kg Hubraum: 50,2 cm³ Leistung kW/PS: 2,6/3,5 Leistungsgewicht kg/kW: 2,2 Schienenlänge: 40 cm CO2 g/kWh: 826 Schalldruckpegel dB (A): 103 Schallleistungspegel dB (A): 115 Vibrationswert links/rechts m/s²: 4,5/4,5 Sägekettenteilung: .325""";https://www.faie.at/media/image/ea/1e/44/art_pro_fo_ca_110903_200x200.jpg;"https://www.faie.at/forst/kettensaegen/stihl-kettensaegen/stihl-kettensaegen-benzin/5110903/stihl-motorsaege-ms-271-40-cm";nicht lagernd (10-14 Werktage Lieferzeit);699,00;729,00;""; 0;
"Stihl Motorsäge MS 241 C-M 35 cm";"Stihl";"FA110908";"Forst>Kettensägen>Stihl Kettensägen>Stihl Kettensägen Benzin";"Vielseitige 2,2kW-Benzinmotorsäge mit M-Tronic, Griff- und Vergaserheizung. Kraftstoffdosierung wird elektronisch geregelt. Motorsäge hat somit immer optimale Motorleistung. Keine manuellen Einstellungsänderungen mehr nötig. Weitere Ausstattungsmerkmalen wie: leicht zu reinigendem HD2-Filter, professionellem STIHL Antivibrationssystem, mengenregulierbarer Ölpumpe, verliersicherer Mutter am Kettenraddeckel, einteiliger Haube mit drei Schnellverschlüssen und Memory-Funktion für zügiges Weiterarbeiten nach Arbeitspausen. Technische Daten: Gewicht: 4,8 kg Leistung kW/PS: 2,3/3,1 Hubraum: 42,6 cm³ Schienenlänge: 35 cm Vibrationswert links/rechts m/s²: 2,9/2,9 CO2 g/kWh: 882 Schalldruckpegel dB (A): 103 Schallleistungspegel dB (A): 115 Sägekettenteilung: 3/8"" P Leistungsgewicht kg/kW: 2,1";https://www.faie.at/media/image/f1/96/5e/art_pro_fo_ca_110908_200x200.jpg;"https://www.faie.at/forst/kettensaegen/stihl-kettensaegen/stihl-kettensaegen-benzin/5110908/stihl-motorsaege-ms-241-c-m-35-cm";nicht lagernd (10-14 Werktage Lieferzeit);885,00;899,00;""; 0;
"Motorsäge Stihl MS 362 C-M 40 cm";"Stihl";"FA110912";"Forst>Kettensägen>Stihl Kettensägen>Stihl Kettensägen Benzin";"Bestens geeignet für Arbeiten in mittelstarken Beständen. Langzeit-Luftfiltersystem mit HD2-Filter bewirkt eine sehr gute Filterwirkung, M-Tronic für stets perfekte Motorleistung und einfaches Starten dank einer Startposition und Stopptaster-Funktion. Die verliersichere Muttern am Kettenraddeckel vereinfacht den Kettenwechsel. Die elektrische Griffheizung (W) sorgt für warme Hände und bessere Griffigkeit im Winter. Die elektrische Vergaserheizung mit temperaturabhängiger Ein- und Ausschalt-Steuerung verhindert das Vereisen des Vergasers im Winterbetrieb. Technische Daten: Gewicht: 5,8 kg Leistung kW/PS: 3,5/4,8 Hubraum: 59 cm³ Schienenlänge: 40 cm Vibrationswert links/rechts m/s²: 3,5/3,5 CO2 g/kWh: 711 Schalldruckpegel dB (A): 106 Schallleistungspegel dB (A): 117 Leistungsgewicht kg/kW: 1,7";https://www.faie.at/media/image/b4/16/b9/art_pro_fo_ca_110912_200x200.jpg;"https://www.faie.at/forst/kettensaegen/stihl-kettensaegen/stihl-kettensaegen-benzin/5110912/motorsaege-stihl-ms-362-c-m-40-cm";nicht lagernd (10-14 Werktage Lieferzeit);1159,00;1199,00;""; 0;
"Motorsäge Stihl MS 400 C-M 40 cm";"Stihl";"FA110914";"Forst>Kettensägen>Stihl Kettensägen>Stihl Kettensägen Benzin";"Das Leichtgewicht! Die kraftvolle Motorsäge MS 400 C-M ist die weltweit erste Motorsäge mit einem Magnesiumkolben. In Verbindung mit der konsequenten Leichtbauweise führt dies zu einem ausgesprochen niedrigem Leistungsgewicht von unter 1,45 kg/kW. In der MS 400 C-M kommt der von STIHL gänzlich neu entwickelte 67 cm³-Motor mit einer Leistung von 4,0 kW erstmals zum Einsatz. Die schnittstarke Maschine mit STIHL M-Tronic ist leicht zu starten und gut ausgestattet. Ganz in ihrem Element ist die rasant beschleunigende MS 400 C-M beim Fällen, Entasten und Aufarbeiten von Holz in mittelstarken Beständen. Technische Daten: Gewicht 5,8 kg Leistung 4 kW / 5,4 PS Hubraum 66,8 cm³ Schienenlänge 45 cm Vibrationswert links/rechts 3,5 / 3,5 m/s² CO2 656 g/kWh Schalldruckpegel 107 dB(A) Schallleistungspegel 118 dB(A) Sägekettenteilung 3/8 "" Leistungsgewicht 1,4 kg/kW";https://www.faie.at/media/image/4f/34/0d/art_pro_fo_ca_110914_200x200.jpg;"https://www.faie.at/forst/kettensaegen/stihl-kettensaegen/stihl-kettensaegen-benzin/5110914/motorsaege-stihl-ms-400-c-m-40-cm";nicht lagernd (10-14 Werktage Lieferzeit);1299,00;1349,00;""; 0;
"Stihl Motorsäge MS 400 C-M 45 cm";"Stihl";"FA110915";"Forst>Kettensägen>Stihl Kettensägen>Stihl Kettensägen Benzin";"Die kraftvolle Motorsäge MS 400 C-M ist die weltweit erste Motorsäge mit einem Magnesiumkolben. In Verbindung mit der konsequenten Leichtbauweise führt dies zu einem sehr niedrigem Leistungsgewicht von unter 1,45 kg/kW. In der MS 400 C-M kommt der von STIHL gänzlich neu entwickelte 67 cm³-Motor mit einer Leistung von 4,0 kW erstmals zum Einsatz. Die schnittstarke Maschine mit STIHL M-Tronic ist einfach zu starten und gut ausgestattet. Ganz in ihrem Element ist die rasant beschleunigende MS 400 C-M beim Fällen, Entasten und Aufarbeiten von Holz in mittelstarken Beständen. Technische Daten: Gewicht: 5,8 kg Leistung kW/PS: 4/5,4 Hubraum: 66,8 cm³ Schienenlänge: 45 cm Vibrationswert links/rechts m/s² CO2 g/kWh: 656 Schalldruckpegel dB (A): 107 Schallleistungspegel dB (A): 118 Sägekettenteilung: 3/8"" Leistungsgewicht kg/kW: 1,4";https://www.faie.at/media/image/4f/34/0d/art_pro_fo_ca_110914_200x200.jpg;"https://www.faie.at/forst/kettensaegen/stihl-kettensaegen/stihl-kettensaegen-benzin/5110915/stihl-motorsaege-ms-400-c-m-45-cm";nicht lagernd (10-14 Werktage Lieferzeit);1299,00;1409,00;""; 0;
"Stihl Motorsäge MS 462 C-M 45cm";"Stihl";"FA110917";"Forst>Kettensägen>Stihl Kettensägen>Stihl Kettensägen Benzin";"Leichteste Hochleistungssäge der 70 cm³-Hubraumklasse. Super wendig mit perfekter Beschleunigung. Zum Fällen und Entasten in mittelstarken und starken Beständen. Serienmäßig mit M-Tronic, HD2-Filter mit hervorragender Filterwirkung. Verliersichere Muttern am Kettenraddeckel vereinfachen den Kettenwechsel, werkzeuglose Tankverschlüsse zum einfachen und sicheren Befüllen mit Betriebsstoffen, sparsamer 2-MIX-Motor. Technische Daten: Gewicht: 6 kg Leistung kW/PS: 4,4/6 Hubraum: 72,2 cm³ Schienenlänge: 45 cm Vibrationswert links/rechts m/s³: 4,8/3,6 CO2 g/kWh: 697 Schalldruckpegel dB (A): 108 Schallleistungspegel dB (A): 119 Sägekettenteilung: 3/8"" Leistungsgewicht kg/kW: 1,4";https://www.faie.at/media/image/a3/2f/e0/art_pro_fo_ca_110916_200x200.jpg;"https://www.faie.at/forst/kettensaegen/stihl-kettensaegen/stihl-kettensaegen-benzin/5110917/stihl-motorsaege-ms-462-c-m-45cm";nicht lagernd (10-14 Werktage Lieferzeit);1499,00;1508,00;""; 0;
"Stihl Motorsäge MS 500i 63 cm";"Stihl";"FA110920";"Forst>Kettensägen>Stihl Kettensägen>Stihl Kettensägen Benzin";"Erste Motorsäge mit STIHL „Injection“ Technologie. Bestes Leistungsgewicht am Markt und einfachste Bedienung. Perfekt geeignet für die Starkholzernte und -aufarbeitung. Dank einzigartigem Leichtbaukonzept und hervorragender Beschleunigung. Neuer Krallenanschlag, HD2 Filter, verliersichere Mutter am Kettenraddeckel für vereinfachten Kettenwechsel, mengenregulierbare Ölpumpe, werkzeuglose Tankverschlüsse zum leichten und sicheren Befüllen mit Betriebsstoffen. Technische Daten: Gewicht: 6,2 kg Leistung kW/PS: 5/6,8 Hubraum: 79,2 cm³ Schienenlänge 63 cm Vibrationswert links/rechts m/s²: 4,2/4 CO2 g/kWh: 707 Schalldruckpegel dB (A): 106 Schallleistungspegel dB (A): 119 Sägekettenteilung: 3/8"" Leistungsgewicht kg/kW: 1,2";https://www.faie.at/media/image/10/0b/92/art_pro_fo_ca_110919_200x200.jpg;"https://www.faie.at/forst/kettensaegen/stihl-kettensaegen/stihl-kettensaegen-benzin/5110920/stihl-motorsaege-ms-500i-63-cm";nicht lagernd (10-14 Werktage Lieferzeit);1639,00;1735,00;""; 0;
"Stihl Motorsägen MS 880 63 cm";"Stihl";"FA110924";"Forst>Kettensägen>Stihl Kettensägen>Stihl Kettensägen Benzin";"Stärkste Serien-Motorsäge der Welt. Dekompressionsventil und STIHL ElastoStart sorgen für ein kraftsparendes Starten der Motorsäge, HD2-Filter garantiert eine hohe Filterstandzeit, werkzeuglose Tankverschlüsse für einfaches und sicheres Befüllen mit Betriebsstoffen. Technische Daten: Gewicht: 10 kg Leistung kW/PS: 6,4/8,7 Hubraum: 121,6cm³ Schienenlänge: 63 cm Vibrationswert links/rechts m/s²: 8,9/8,9 Schalldruckpegel dB (A): 103 Schallleistungspegel dB (A): 116 Sägekettenteilung: .404"" Leistungsgewicht kg/kW: 1,5 Kette (Standard) Ausführung: Rapid Super";https://www.faie.at/media/image/41/8b/44/art_pro_fo_ca_110924_200x200.jpg;"https://www.faie.at/forst/kettensaegen/stihl-kettensaegen/stihl-kettensaegen-benzin/5110924/stihl-motorsaegen-ms-880-63-cm";nicht lagernd (10-14 Werktage Lieferzeit);1949,00;1999,00;""; 0;
"Stihl Motorsäge MS 880 75 cm";"Stihl";"FA110925";"Forst>Kettensägen>Stihl Kettensägen>Stihl Kettensägen Benzin";"Stärkste Serien-Motorsäge der Welt. Dekompressionsventil und STIHL ElastoStart sorgen für ein kraftsparendes Starten der Motorsäge, HD2-Filter garantiert eine hohe Filterstandzeit, werkzeuglose Tankverschlüsse für einfaches und sicheres Befüllen mit Betriebsstoffen. Technische Daten: Gewicht: 10 kg Leistung kW/PS: 6,4/8,7 Hubraum: 121,6cm³ Schienenlänge: 75 cm Vibrationswert links/rechts m/s²: 8,9/8,9 Schalldruckpegel dB (A): 103 Schallleistungspegel dB (A): 116 Sägekettenteilung: .404"" Leistungsgewicht kg/kW: 1,5 Kette (Standard) Ausführung: Rapid Super";https://www.faie.at/media/image/41/8b/44/art_pro_fo_ca_110924_200x200.jpg;"https://www.faie.at/forst/kettensaegen/stihl-kettensaegen/stihl-kettensaegen-benzin/5110925/stihl-motorsaege-ms-880-75-cm";nicht lagernd (10-14 Werktage Lieferzeit);1975,00;2025,00;""; 0;
"Stihl Motorsäge MS 880 90 cm";"Stihl";"FA110926";"Forst>Kettensägen>Stihl Kettensägen>Stihl Kettensägen Benzin";"Stärkste Serien-Motorsäge der Welt. Dekompressionsventil und STIHL ElastoStart sorgen für ein kraftsparendes Starten der Motorsäge, HD2-Filter garantiert eine hohe Filterstandzeit, werkzeuglose Tankverschlüsse für einfaches und sicheres Befüllen mit Betriebsstoffen. Technische Daten: Gewicht: 10 kg Leistung kW/PS: 6,4/8,7 Hubraum: 121,6cm³ Schienenlänge: 90 cm Vibrationswert links/rechts m/s²: 8,9/8,9 Schalldruckpegel dB (A): 103 Schallleistungspegel dB (A): 116 Sägekettenteilung: .404"" Leistungsgewicht kg/kW: 1,5 Kette (Standard) Ausführung: Rapid Super";https://www.faie.at/media/image/41/8b/44/art_pro_fo_ca_110924_200x200.jpg;"https://www.faie.at/forst/kettensaegen/stihl-kettensaegen/stihl-kettensaegen-benzin/5110926/stihl-motorsaege-ms-880-90-cm";nicht lagernd (10-14 Werktage Lieferzeit);1999,00;2059,00;""; 0;
"Stihl Motorsäge MS 194 T 30 cm";"Stihl";"FA110929";"Forst>Kettensägen>Stihl Kettensägen>Stihl Kettensägen Benzin";"Die Universal-Baumpflegesäge von STIHL. Sparsamer und leistungsstarker 2-MIX-Motor. Hoher Startkomfort dank STIHL ErgoStart (E). Praktische Stopp-Taster-Funktion. Sparsamer und leistungsstarker 2-MIX-Motor. Verliersichere Mutter am Kettenraddeckel. Baumpflegesägen sind speziell für Arbeiten im Baum konzipiert und ausschließlich von geschulten Anwendern in der Baumpflege anzuwenden. Technische Daten: Gewicht: 3,3 kg Leistung kW/PS: 1,4/1,9 Hubraum: 31,8 cm³ Schienenlänge: 30 cm Vibrationswert links/rechts m/s²: 3,6/3,6 Sägekettenteilung: 3/8"" P CO2 g/kWh: 896 Schalldruckpegel dB (A): 100 Schallleistungspegel dB (A): 112 Leistungsgewicht: 2,4";https://www.faie.at/media/image/a8/8c/d6/art_pro_fo_ca_110929_200x200.jpg;"https://www.faie.at/forst/kettensaegen/stihl-kettensaegen/stihl-kettensaegen-benzin/5110929/stihl-motorsaege-ms-194-t-30-cm";nicht lagernd (10-14 Werktage Lieferzeit);489,00;499,00;""; 0;
"Stihl Motorsäge MS 194 T 35 cm";"Stihl";"FA110930";"Forst>Kettensägen>Stihl Kettensägen>Stihl Kettensägen Benzin";"Die Universal-Baumpflegesäge von STIHL. Sparsamer und leistungsstarker 2-MIX-Motor. Hoher Startkomfort dank STIHL ErgoStart (E). Praktische Stopp-Taster-Funktion. Sparsamer und leistungsstarker 2-MIX-Motor. Verliersichere Mutter am Kettenraddeckel. Baumpflegesägen sind speziell für Arbeiten im Baum konzipiert und ausschließlich von geschulten Anwendern in der Baumpflege anzuwenden. Technische Daten: Gewicht: 3,3 kg Leistung kW/PS: 1,4/1,9 Hubraum: 31,8 cm³ Schienenlänge: 35 cm Vibrationswert links/rechts m/s²: 3,6/3,6 Sägekettenteilung: 3/8"" P CO2 g/kWh: 896 Schalldruckpegel dB (A): 100 Schallleistungspegel dB (A): 112 Leistungsgewicht: 2,4";https://www.faie.at/media/image/a8/8c/d6/art_pro_fo_ca_110929_200x200.jpg;"https://www.faie.at/forst/kettensaegen/stihl-kettensaegen/stihl-kettensaegen-benzin/5110930/stihl-motorsaege-ms-194-t-35-cm";nicht lagernd (10-14 Werktage Lieferzeit);499,00;509,00;""; 0;
"Stihl Motorsäge MSE 170 C-B Elektro 30 cm";"Stihl";"FA110944";"Forst>Kettensägen>Stihl Kettensägen>Stihl Kettensägen Elektro";"Die sehr leichte, ergonomisch optimierte Elektrosäge mit Stihl Kettenschnellspannung (B) und Stihl QuickStop Super Bremssystem (C-Q). Gut zum Bauen, Basteln und zum Brennholzsägen. Technische Daten: Gewicht: 4,3 kg Nennspannung: 230 V Schienenlänge: 30 cm Sägekettenteilung: 3/8"" P Schalldruckpegel dB (A): 92 Schallleistungspegel dB (A): 103 Vibrationswert links/rechts m/s²: 2,9/3,4 Kabellänge: 4 m Ölpumpe: nicht verstellbar";https://www.faie.at/media/image/bd/9b/3f/art_pro_fo_ca_110944_200x200.jpg;"https://www.faie.at/forst/kettensaegen/stihl-kettensaegen/stihl-kettensaegen-elektro/5110944/stihl-motorsaege-mse-170-c-b-elektro-30-cm";lagernd (derzeit bis zu 10 Werktage Lieferzeit);279,00;289,00;""; 0;
"Stihl Motorsäge MSE 170 C-B Elektro 35 cm";"Stihl";"FA110945";"Forst>Kettensägen>Stihl Kettensägen>Stihl Kettensägen Elektro";"Die sehr leichte, ergonomisch optimierte Elektrosäge mit Stihl Kettenschnellspannung (B) und Stihl QuickStop Super Bremssystem (C-Q). Gut zum Bauen, Basteln und zum Brennholzsägen. Technische Daten: Gewicht: 4,3 kg Nennspannung: 230 V Schienenlänge: 35 cm Sägekettenteilung: 3/8"" P Schalldruckpegel dB (A): 92 Schallleistungspegel dB (A): 103 Vibrationswert links/rechts m/s²: 2,9/3,4 Kabellänge: 4 m Ölpumpe: nicht verstellbar";https://www.faie.at/media/image/bd/9b/3f/art_pro_fo_ca_110944_200x200.jpg;"https://www.faie.at/forst/kettensaegen/stihl-kettensaegen/stihl-kettensaegen-elektro/5110945/stihl-motorsaege-mse-170-c-b-elektro-35-cm";nicht lagernd (10-14 Werktage Lieferzeit);279,00;286,00;""; 0;
"Stihl Motorsäge MSE 190 C-B Elektro 35 cm";"Stihl";"FA110947";"Forst>Kettensägen>Stihl Kettensägen>Stihl Kettensägen Elektro";"Handliche, ergonomisch optimierte Elektrosäge mit STIHL Kettenschnellspannung (B) und STIHL QuickStop Super Bremssystem (C-Q). Sehr gut zum Bauen, Basteln und zum Brennholzsägen. Technische Daten: Gewicht: 4,4 kg Nennspannung: 230 V Schienenlänge: 35 cm Schalldruckpegel dB (A): 92 Schallleistungspegel dB (A): 103 Sägekettenteilung: 3/8"" P Vibrationswert links/rechts m/s²: 2,9/3,4 Kabellänge: 4 m Ölpumpe: nicht verstellbar";https://www.faie.at/media/image/8f/26/d6/art_pro_fo_ca_110946_200x200.jpg;"https://www.faie.at/forst/kettensaegen/stihl-kettensaegen/stihl-kettensaegen-elektro/5110947/stihl-motorsaege-mse-190-c-b-elektro-35-cm";nicht lagernd (10-14 Werktage Lieferzeit);349,00;358,00;""; 0;
"Stihl Motorsäge MSE 210 C-B Elektro 40 cm";"Stihl";"FA110949";"Forst>Kettensägen>Stihl Kettensägen>Stihl Kettensägen Elektro";"Leistungsstarke, ergonomisch optimierte Elektrosäge mit STIHL Kettenschnellspannung (B) und STIHL QuickStop Super Bremssystem (C-Q). Optimal zum Bauen, Basteln und Brennholzsägen. Technische Daten: Gewicht: 4,5 kg Nennspannung: 230 V Schienenlänge: 40 cm Sägekettenteilung: 3/8"" P Schalldruckpegel dB (A): 93 Schallleistungspegel dB (A): 104 Vibrationswert links/rechts m/s²: 3,4/4,2 Kabellänge: 4 m Ölpumpe: nicht verstellbar";https://www.faie.at/media/image/71/f7/db/art_pro_fo_ca_110948_200x200.jpg;"https://www.faie.at/forst/kettensaegen/stihl-kettensaegen/stihl-kettensaegen-elektro/5110949/stihl-motorsaege-mse-210-c-b-elektro-40-cm";lagernd (derzeit bis zu 10 Werktage Lieferzeit);417,00;437,00;""; 0;
"Stihl Motorsäge MSE 230 C-B Elektro 35 cm";"Stihl";"FA110950";"Forst>Kettensägen>Stihl Kettensägen>Stihl Kettensägen Elektro";"Die leistungsstarke, ergonomisch optimierte Elektrosäge mit Stihl Kettenschnellspannung (B) und Stihl QuickStop Super Bremssystem (C-Q). Optimal zum Bauen, Basteln und zum Brennholzsägen. Technische Daten: Gewicht: 4,7 kg Nennspannung: 230 V Schalldruckpegel dB (A): 93 Schallleistungspegel dB (A): 104 Vibrationswert links/rechts m/s² Schienenlänge: 35 cm Sägekettenteilung: 3/8"" P Kabellänge: 4 m Ölpumpe: nicht verstellbar";https://www.faie.at/media/image/df/98/8f/art_pro_fo_ca_110950_200x200.jpg;"https://www.faie.at/forst/kettensaegen/stihl-kettensaegen/stihl-kettensaegen-elektro/5110950/stihl-motorsaege-mse-230-c-b-elektro-35-cm";nicht lagernd (10-14 Werktage Lieferzeit);469,00;471,00;""; 0;
"Motorreparatursatz zu Steyr Motor WD411";"keine Angabe";"FA111365";"Landtechnik>Traktorteile>Motor>Motorteile>Motorreparatursatz kompl.";"Reparatursatz bestehend aus: Kolben, Büchsen, Kolbenringe, Büchsenringe, Pleuellager Standard Maß und Zylinderkopfdichtsatz";https://www.faie.at/media/image/e8/c5/19/art_pro_fo_tb_111365_200x200.jpg;"https://www.faie.at/landtechnik/traktorteile/motor/motorteile/motorreparatursatz-kompl./5111365/motorreparatursatz-zu-steyr-motor-wd411";nicht lagernd (10-14 Werktage Lieferzeit);750,00;839,00;""; 0;
"Zirben Körperlotion 250ml";"keine Angabe";"FA111433";"Haushalt, Gesundheit>Natürlich Gesund>Pflege & Hygieneartikel>Salben & Cremen";"Ausgleichende Lotion mit Bio Zirbenöl wirkt harmonisierend. Zur Pflege und Regeneration, beruhigend für die Haut. Um den Körper in Balance zu bringen, mehrmals täglich auf gewünschte Körperpartien einmassieren. Inhalt: 250ml.";https://www.faie.at/media/image/cb/f3/50/art_pro_fo_ic_111433_v2_200x200.jpg;"https://www.faie.at/haushalt-gesundheit/natuerlich-gesund/pflege-hygieneartikel/salben-cremen/5111433/zirben-koerperlotion-250ml";lagernd (derzeit bis zu 10 Werktage Lieferzeit);9,90;12,90;"9007675121444"; 9,95;
"Schafmilchseife eckig 100g Zirbe mit Motiv ""Zirbe"" im Waschlappenzuckerl";"keine Angabe";"FA111451";"Haushalt, Gesundheit>Natürlich Gesund>Pflege & Hygieneartikel>Bäder & Seifen";"Zirbe - Der angenehme Duft der Zirbe entspannt und wirkt wohltuend. Original Florex Schafmilchseife ist durch ihre hochwertigen Inhaltsstoffe besonders hautverträglich und eignet sich daher auch hervorragend für empfindliche Haut. 100g.";https://www.faie.at/media/image/5d/0c/73/art_pro_fo_ic_111451_200x200.jpg;"https://www.faie.at/haushalt-gesundheit/natuerlich-gesund/pflege-hygieneartikel/baeder-seifen/5111451/schafmilchseife-eckig-100g-zirbe-mit-motiv-zirbe-im-waschlappenzuckerl";lagernd (derzeit bis zu 10 Werktage Lieferzeit);8,99;9,99;"9008605148012"; 9,95;
"Gesichtschutz Komfort";"keine Angabe";"FA111474";"Haus, Hof und Garten>Arbeitsschutz>Kopf, Augen, Atem, Gehörschutz>Atemschutz";"Diese universal Gesichtschutz bietet Ihnen optimalen Tragekomfort und hohe Sicherheit. Ideal auch als Ergänzung zu einer Maske/Mund-Nasenschutz. Durch die Brillenförmige Halterung ist ein guter Halt gewährleistet. Auch für Brillenträger geeignet.";https://www.faie.at/media/image/5c/cd/fc/art_pro_fo_da_111474-1_200x200.jpg;"https://www.faie.at/haus-hof-und-garten/arbeitsschutz/kopf-augen-atem-gehoerschutz/atemschutz/5111474/gesichtschutz-komfort";lagernd (derzeit bis zu 10 Werktage Lieferzeit);5,99;9,95;""; 9,95;
"Reinigungskratzer";"keine Angabe";"FA111494";"Imkerei>Beuten & Zubehör>Einheitsmaß";"Schaber aus Edelstahl mit Holzgriff zum Reinigen von Absperrgitter aus Metall";https://www.faie.at/media/image/55/58/14/art_pro_fo_ua_111494_200x200.jpg;"https://www.faie.at/imkerei/beuten-zubehoer/einheitsmass/5111494/reinigungskratzer";lagernd (derzeit bis zu 10 Werktage Lieferzeit);5,99;7,99;""; 9,95;
"Königinnenkäfig ""Basic""";"keine Angabe";"FA111560";"Imkerei>Königinnenzucht";"Käfig zum Versenden von Königinnen.";https://www.faie.at/media/image/g0/66/62/art_pro_fo_ua_111560_200x200.jpg;"https://www.faie.at/imkerei/koeniginnenzucht/5111560/koeniginnenkaefig-basic";lagernd (derzeit bis zu 10 Werktage Lieferzeit);0,40;0,59;""; 9,95;
"Akku Starter Kit Einhell 18V Power X-Change";"EINHELL";"FA111595";"Werkzeuge Maschinen>E-Geräte, Maschinen, Zubehör>Elektrowerkzeug Zubehör>Akkus und Ladegeräte";"Das prozessgesteuerte Batteriemanagementsystem ABS steht für max. Sicherheit, optimale Geräteperformance, Laufzeit+Lebensdauer. Ermöglicht kabellose Freiheit: Kein Kabelsalat und freies Arbeiten, Dank hochwertiger Li-Ion Zellen kein Memoryeffekt, geringe Selbstentladung und hohe, konstante Power, Aktueller Ladezustand durch 3-stufige LED-Anzeige, Komfortable Entnehmbarkeit durch Griffmulde, staub-, korrosions-, und mechanisch geschütztes Gehäuse, Geeignet für den TWIN-PACK Einsatz bei 36V-Anwendungen. Ausstattung Ladegerät: Extrem platzsparend durch kompaktes Design Kurze Ladezeiten mittels Schnellladetechnologie Permanente Akkuüberwachung für optimalen Ladevorgang Reaktivierung tiefentladener Akkus durch den Refresh-Modus Höchste Sicherheit angesichts intelligentem Lademanagement Aktuelle Informationen über 6-fache Zustands-LED-Anzeige Benutzerfreundliche Wandmontage dank integrierte...";https://www.faie.at/media/image/c4/7e/a4/art_pro_fo_ad_111595_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/e-geraete-maschinen-zubehoer/elektrowerkzeug-zubehoer/akkus-und-ladegeraete/5111595/akku-starter-kit-einhell-18v-power-x-change";lagernd (derzeit bis zu 10 Werktage Lieferzeit);104,95;119,00;"4006825613704"; 6,95;
"Rähmchen DNM Vollzarge";"keine Angabe";"FA111596";"Imkerei>Rähmchen & Zubehör>DNM";"Rähmchen mit geraden Seiten für Deutsches Normalmaß Vollzargen mit den Maßen 394x370x223mm";https://www.faie.at/media/image/71/g0/f8/art_pro_fo_ua_111596_200x200.jpg;"https://www.faie.at/imkerei/raehmchen-zubehoer/dnm/5111596/raehmchen-dnm-vollzarge";lagernd (derzeit bis zu 10 Werktage Lieferzeit);12,90;13,90;""; 9,95;
"Rad Montage Set 11 tlg.";"Gedore";"FA111921";"Werkzeuge Maschinen>Handwerkzeug>PKW-Zubehör und Werkzeug>Autopflege, Wartung>KFZ-Spezialwerkzeug";"Universelles Komplett Set für den Räderwechsel in bester Gedore Qualität. Präzise und Effektiv - für den idealen Reifenwechsel , alles kompakt & ordentlich in einem praktischem, robustem Koffer mit Metallschnallen. Inhalt: Drehmomentschlüssel für Pkw, SUV und Kleintransporter, 40-200Nm einstellbar, mit 1/2"" Einsteck Vierkant mit geriffeltem Drehknopf für das schnelle Vorspannen. 2K Teleskop Knarre 1/2"" - Hebelwirkung erleichtert das Lösen der Radmuttern, in 5 Stufen von 460-600mm verstellbar, Kraftübertragung bis 512Nm Schlagschraubeinsätze mit Schlüsselweite 19 und 17mm mit jeweils 86mm Länge und Kunststoffummantelung für empfindliche Oberflächen 2 Stück 1/2"" Verlängerungen in 75 und 125mm für den Einsatz an Tiefbettfelgen Magnetschale, flexibel mit Schutzüberzug am Magnetfuß zur sicheren Aufnahme der Radschrauben Beutel für die Aufbewahung der Radschauben bis zum ...";https://www.faie.at/media/image/c6/64/c5/art_pro_fo_bf_111921_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/handwerkzeug/pkw-zubehoer-und-werkzeug/autopflege-wartung/kfz-spezialwerkzeug/5111921/rad-montage-set-11-tlg.";lagernd (derzeit bis zu 10 Werktage Lieferzeit);199,90;249,00;"4060833004008"; 0;
"Kaffeebrühgerät Edelstahl";"keine Angabe";"FA112144";"Direkt-Vermarktung>Speisen- und Getränkeverkauf>Getränkeverkauf>Ausschank  + Gläserreinigung";"Dieser einwandige Kaffee-Perkolator aus Edelstahl ist besonders für Ereignisse wie Familienfeiern oder Veranstaltungen gedacht, wo größere Mengen Kaffee benötigt werden. Für normal gemahlenen Kaffee sind keine Papierfilter notwendig. Das Gerät zeigt mittels einer Kontrollleuchte das Ende des Brühvorganges an und hält den Kaffee auf Serviertemperatur. Mit Füllstandsanzeige und Anti-Tropf-Hahn. 230 V, 1.500 Watt.";https://www.faie.at/media/image/5b/6c/e1/art_pro_fo_pb_112145-1_200x200.jpg;"https://www.faie.at/direkt-vermarktung/speisen-und-getraenkeverkauf/getraenkeverkauf/ausschank-glaeserreinigung/5112144/kaffeebruehgeraet-edelstahl";lagernd (derzeit bis zu 10 Werktage Lieferzeit);99,00;129,90;"8711369208007"; 6,95;
